state,district,ISI,RCS,ABS,mean_volume,cv,months_active,months_with_data,prop_5_17,prop_17_plus
Tamil Nadu,Theni,0.2617,1.0,0.9924,9635.777777777777,0.285654992417061,9,9,0.44874426327806094,0.5512557367219391
Tamil Nadu,Thiruvallur,0.3278,1.0,0.9088,321.8888888888889,0.5569627449311997,9,9,0.3241284086986538,0.6758715913013462
Tamil Nadu,Thiruvarur,0.3063,1.0,1.0,8088.777777777777,0.3884081135548537,9,9,0.4973007870987239,0.5026992129012762
Tamil Nadu,Thoothukkudi,0.3813,1.0,0.9999,15540.111111111111,0.39088026896824307,9,9,0.5057020899321469,0.49429791006785306
Tamil Nadu,Tiruchirappalli,0.3324,1.0,0.9492,21507.777777777777,0.20591823351845065,9,9,0.36809939556749494,0.6319006044325051
Tamil Nadu,Tirunelveli,0.3841,1.0,0.9936,23863.666666666668,0.25465047390316675,9,9,0.4527990017367174,0.5472009982632826
Tamil Nadu,Tirupathur,0.3541,0.4444,0.6162,14.75,0.6073380632938616,4,4,0.847457627118644,0.15254237288135594
Tamil Nadu,Tirupattur,0.2934,1.0,0.8264,1345.6666666666667,0.4806253762859628,9,9,0.740236148955495,0.259763851044505
Tamil Nadu,Tiruppur,0.2939,1.0,0.9987,16530.222222222223,0.22416495279912504,9,9,0.478631731777485,0.521368268222515
Tamil Nadu,Tiruvallur,0.404,1.0,0.9975,26421.444444444445,0.2453602688164625,9,9,0.5291745341536547,0.4708254658463453
Tamil Nadu,Tiruvannamalai,0.34,1.0,0.9792,15717.222222222223,0.31698853436321733,9,9,0.5846099466261355,0.4153900533738645
Tamil Nadu,Tiruvarur,0.0,0.1111,0.0,3.0,0.0,1,1,0.0,1.0
Tamil Nadu,Tuticorin,0.0,0.3333,0.65,2.0,0.0,3,3,0.16666666666666666,0.8333333333333334
Tamil Nadu,Vellore,0.3688,1.0,0.9992,21311.444444444445,0.2716057824640832,9,9,0.5167854517395453,0.48321454826045473
Tamil Nadu,Villupuram,0.3296,1.0,0.8708,13473.444444444445,0.3372043038456238,9,9,0.7083728486487824,0.29162715135121764
Tamil Nadu,Viluppuram,0.2515,1.0,0.8301,9496.222222222223,0.2705739722600365,9,9,0.2622095336157068,0.7377904663842931
Tamil Nadu,Virudhunagar,0.2965,1.0,0.9998,13477.111111111111,0.28029173433798704,9,9,0.49272841195772255,0.5072715880422775
Telangana,Adilabad,0.2145,1.0,0.9897,8920.333333333334,0.2168326605966152,9,9,0.5595580633508962,0.4404419366491038
